country_iso3code,year,indicator_code,indicator_value
BDI,2022,NY.GDP.MKTP.CD,3338722827.65691
BDI,2021,NY.GDP.MKTP.CD,2775798697.46022
BDI,2020,NY.GDP.MKTP.CD,2649680261.44299
BDI,2023,SP.POP.TOTL,13689450.0
BDI,2022,SP.POP.TOTL,13321097.0
BDI,2021,SP.POP.TOTL,12965481.0
BDI,2020,SP.POP.TOTL,12617036.0
BEL,2023,NY.GDP.MKTP.CD,644782756682.756
BEL,2022,NY.GDP.MKTP.CD,593438820508.173
BEL,2021,NY.GDP.MKTP.CD,598494036474.409
BEL,2020,NY.GDP.MKTP.CD,529694473501.791
BEL,2023,SP.POP.TOTL,11787423.0
BEL,2022,SP.POP.TOTL,11680210.0
BEL,2021,SP.POP.TOTL,11586195.0
BEL,2020,SP.POP.TOTL,11538604.0
BEN,2023,NY.GDP.MKTP.CD,19676049075.7011
BEN,2022,NY.GDP.MKTP.CD,17401746309.2655
BEN,2021,NY.GDP.MKTP.CD,17690083519.9323
BEN,2020,NY.GDP.MKTP.CD,15651545208.8783
BEN,2023,SP.POP.TOTL,14111034.0
BEN,2022,SP.POP.TOTL,13759501.0
BEN,2021,SP.POP.TOTL,13413417.0
BEN,2020,SP.POP.TOTL,13070169.0
BFA,2023,NY.GDP.MKTP.CD,20324617844.5265
BFA,2022,NY.GDP.MKTP.CD,18820218690.5948
BFA,2021,NY.GDP.MKTP.CD,19697516284.3787
BFA,2020,NY.GDP.MKTP.CD,17725010532.5268
BFA,2023,SP.POP.TOTL,23025776.0
BFA,2022,SP.POP.TOTL,22509038.0
BFA,2021,SP.POP.TOTL,21995243.0
BFA,2020,SP.POP.TOTL,21478690.0
BGD,2023,NY.GDP.MKTP.CD,437415331040.994
BGD,2022,NY.GDP.MKTP.CD,460131688909.301
BGD,2021,NY.GDP.MKTP.CD,416271647911.014
BGD,2020,NY.GDP.MKTP.CD,373979442362.193
BGD,2023,SP.POP.TOTL,171466990.0
BGD,2022,SP.POP.TOTL,169384897.0
BGD,2021,SP.POP.TOTL,167658854.0
BGD,2020,SP.POP.TOTL,166298024.0
BGR,2023,NY.GDP.MKTP.CD,102407653020.606
BGR,2022,NY.GDP.MKTP.CD,90642851835.8996
BGR,2021,NY.GDP.MKTP.CD,84417951260.8091
BGR,2020,NY.GDP.MKTP.CD,70716821234.5967
BGR,2023,SP.POP.TOTL,6446596.0
BGR,2022,SP.POP.TOTL,6643324.0
BGR,2021,SP.POP.TOTL,6877743.0
BGR,2020,SP.POP.TOTL,6934015.0
BHR,2023,NY.GDP.MKTP.CD,46079867021.2766
BHR,2022,NY.GDP.MKTP.CD,46680398936.1702
BHR,2021,NY.GDP.MKTP.CD,40840212765.9574
BHR,2020,NY.GDP.MKTP.CD,35837632978.7234
BHR,2023,SP.POP.TOTL,1577059.0
BHR,2022,SP.POP.TOTL,1524693.0
BHR,2021,SP.POP.TOTL,1504365.0
BHR,2020,SP.POP.TOTL,1472204.0
BHS,2023,NY.GDP.MKTP.CD,14338500000.0
BHS,2022,NY.GDP.MKTP.CD,13136400000.0
BHS,2021,NY.GDP.MKTP.CD,11368900000.0
BHS,2020,NY.GDP.MKTP.CD,9958200000.0
BHS,2023,SP.POP.TOTL,399440.0
BHS,2022,SP.POP.TOTL,397538.0
BHS,2021,SP.POP.TOTL,396373.0
BHS,2020,SP.POP.TOTL,395863.0
BIH,2023,NY.GDP.MKTP.CD,27514782476.0406
BIH,2022,NY.GDP.MKTP.CD,24534663636.1778
BIH,2021,NY.GDP.MKTP.CD,23672712242.2149
BIH,2020,NY.GDP.MKTP.CD,20226036564.4129
BIH,2023,SP.POP.TOTL,3185073.0
BIH,2022,SP.POP.TOTL,3204802.0
BIH,2021,SP.POP.TOTL,3244907.0
BIH,2020,SP.POP.TOTL,3299349.0
BLR,2023,NY.GDP.MKTP.CD,71857382745.6066
BLR,2022,NY.GDP.MKTP.CD,73775179924.603
BLR,2021,NY.GDP.MKTP.CD,69673747131.87
BLR,2020,NY.GDP.MKTP.CD,61371755326.2351
BLR,2023,SP.POP.TOTL,9178298.0
BLR,2022,SP.POP.TOTL,9228071.0
BLR,2021,SP.POP.TOTL,9302585.0
BLR,2020,SP.POP.TOTL,9379952.0
BLZ,2023,NY.GDP.MKTP.CD,3066850000.0
BLZ,2022,NY.GDP.MKTP.CD,2846700000.0
BLZ,2021,NY.GDP.MKTP.CD,2420550000.0
BLZ,2020,NY.GDP.MKTP.CD,2042850000.0
BLZ,2023,SP.POP.TOTL,411106.0
BLZ,2022,SP.POP.TOTL,402733.0
BLZ,2021,SP.POP.TOTL,395346.0
BLZ,2020,SP.POP.TOTL,390812.0
BMU,2023,NY.GDP.MKTP.CD,8141700000.0
BMU,2022,NY.GDP.MKTP.CD,7827980000.0
BMU,2021,NY.GDP.MKTP.CD,7286607000.0
BMU,2020,NY.GDP.MKTP.CD,6887147000.0
BMU,2023,SP.POP.TOTL,64698.0
BMU,2022,SP.POP.TOTL,64749.0
BMU,2021,SP.POP.TOTL,64648.0
BMU,2020,SP.POP.TOTL,64382.0
BOL,2023,NY.GDP.MKTP.CD,45135398008.8166
BOL,2022,NY.GDP.MKTP.CD,44008282877.9606
BOL,2021,NY.GDP.MKTP.CD,40406111695.179
BOL,2020,NY.GDP.MKTP.CD,36629843805.0216
BOL,2023,SP.POP.TOTL,12244159.0
BOL,2022,SP.POP.TOTL,12077154.0
BOL,2021,SP.POP.TOTL,11937360.0
BOL,2020,SP.POP.TOTL,11816299.0
BRA,2023,NY.GDP.MKTP.CD,2173665655937.27
BRA,2022,NY.GDP.MKTP.CD,1951923942083.32
BRA,2021,NY.GDP.MKTP.CD,1670647399034.67
BRA,2020,NY.GDP.MKTP.CD,1476107231194.11
BRA,2023,SP.POP.TOTL,211140729.0
BRA,2022,SP.POP.TOTL,210306415.0
BRA,2021,SP.POP.TOTL,209550294.0
BRA,2020,SP.POP.TOTL,208660842.0
BRB,2023,NY.GDP.MKTP.CD,6720733200.0
BRB,2022,NY.GDP.MKTP.CD,6257303500.0
BRB,2021,NY.GDP.MKTP.CD,5275242050.0
BRB,2020,NY.GDP.MKTP.CD,5168344450.0
BRB,2023,SP.POP.TOTL,282336.0
BRB,2022,SP.POP.TOTL,282318.0
BRB,2021,SP.POP.TOTL,282147.0
BRB,2020,SP.POP.TOTL,281698.0
BRN,2023,NY.GDP.MKTP.CD,15128292980.8638
BRN,2022,NY.GDP.MKTP.CD,16681536442.5498
BRN,2021,NY.GDP.MKTP.CD,14006496614.3195
BRN,2020,NY.GDP.MKTP.CD,12005799664.2691
BRN,2023,SP.POP.TOTL,458949.0
BRN,2022,SP.POP.TOTL,455370.0
BRN,2021,SP.POP.TOTL,451721.0
BRN,2020,SP.POP.TOTL,447404.0
